test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
D4-CL-300g-3V3-N,D4,CL,MAX,100,3.3,N,0.9999067981568164,18.50889500573634,0.0,17508.98820757952,71.77804,215.33066,21.786102,65.486595,1256.760948073358,,
D4-CL-580g-3V3-N,D4,CL,MAX,100,3.3,N,0.8792624373652504,21.04213274173075,0.0,20162.870304365497,98.97512,225.10837,30.057104,68.464516,1995.6224506855,,
D4-CL-300g-6V-N,D4,CL,MAX,100,6.0,N,1.2423604778597674,10.01504457444944,0.0,8772.684096589674,142.08191,709.3915,23.71149,118.78159,1246.439236521361,,
D4-CL-580g-6V-N,D4,CL,MAX,100,6.0,N,1.0311785307192105,10.49906876764459,0.0,9467.890236925381,188.22176,710.6043,31.420357,118.98062,1782.0629101296495,,
