test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
M1-CVH-4,M1,Constant,VH,10000,4,N,1.8516682614699187,2.9856424130299124,1.4000000000000001,1133.9741515599937,937.4517,1375.1646,-20.328281,389.5776,1063.0457529527164,5.19483,3.634168181818182
M1-CVH-5,M1,Constant,VH,10000,5,N,3.362438787841732,4.521343095634833,2.6,1158.9043077931015,1425.125,2064.8838,-41.5652,442.29337,1651.5827892011057,5.93118,3.4623716666666664
M1-CVH-6,M1,Constant,VH,10000,6,N,1.7747764752191757,2.909918446360733,1.0,1135.1419711415574,1712.1017,2554.1587,27.614887,456.30795,1943.4663232786722,6.47308,3.765543333333333
