test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
D2-DC-2,D2,DC,MAX,100,2,N,2.764087178909228,10.117012033286606,2.0,7352.924854377378,68.15377,128.31516,28.57199,53.524822,501.1298641725322,15.8029,10.82156027027027
D2-DC-3,D2,DC,MAX,100,3,N,1.5009781498499435,8.882972819777573,0.6,7381.994669927629,108.1391,185.36317,36.279938,62.230957,798.2828446809475,19.8164,14.639677260273976
D2-DC-4,D2,DC,MAX,100,4,N,1.9763498541565587,9.32640621220252,1.1,7350.056358045962,191.10437,341.3717,48.10277,85.498375,1404.6285437510141,29.23166,21.218137162162165
D2-DC-5,D2,DC,MAX,100,5,N,2.6687939390660076,10.052539999309108,1.6,7383.7460602431,283.15253,528.8445,56.982544,105.90923,2090.724643416097,36.65539,26.491958648648648
D2-DC-6,D2,DC,MAX,100,6,N,1.9855819522448126,9.355964496935314,1.0,7370.382544690502,308.5432,756.6398,51.668118,127.02939,2274.0807748809566,48.26399,30.581424594594594
