test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
D1-DC-2,D1,DC,MAX,100,2,N,1.149039370733301,25.110499549877364,0.0,23961.460179144062,48.317577,115.256485,20.211235,48.032173,1157.75965367409,28.41615,15.077356333333332
D1-DC-3,D1,DC,MAX,100,3,N,1.456738141829959,25.408046722551017,0.30000000000000004,23951.30858072106,79.989784,178.3448,26.781738,59.461758,1915.8602191902946,37.57829,22.131007666666665
D1-DC-4,D1,DC,MAX,100,4,N,1.1613748536143333,25.141802097879875,0.0,23980.427244265542,115.078384,316.31174,28.897293,79.15249,2759.629006241971,45.04544,23.571707
D1-DC-5,D1,DC,MAX,100,5,N,2.107088931150024,25.976972210561442,0.0,23869.883279411417,204.26869,491.61316,41.021236,98.363625,4875.871048829335,55.32802,39.02437168067226
D1-DC-6,D1,DC,MAX,100,6,N,2.7907550068302953,26.679384157451423,0.0,23888.629150621127,228.78267,697.44415,38.262043,116.29457,5465.304082462182,54.5436,35.987926736401675
