test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
M2-CVH-3,M2,Constant,VH,10000,3,N,3.120594557479647,3.7350158874474495,2.4,614.4213299678025,426.1635,682.35693,23.590782,246.5075,261.84088488662513,4.30929,2.2529083333333335
M2-CVH-4,M2,Constant,VH,10000,4,N,2.5892332523081896,3.191154116997337,2.0,601.9208646891476,760.4814,1151.4197,39.854317,300.43066,457.7444368327721,6.34204,3.653843333333333
M2-CVH-5,M2,Constant,VH,10000,5,N,1.445371949360318,2.0558520699777842,1.0,610.4801206174661,1170.941,1671.6182,-41.35743,359.16138,714.829091426785,7.03297,3.4112533333333332
M2-CVH-6,M2,Constant,VH,10000,6,N,2.1601789532092623,2.7831495036165026,1.6,622.9705504072402,1514.3434,2251.3237,55.257584,379.16678,943.3813167866366,7.86753,4.944086666666667
M2-CUH-2,M2,Constant,UH,20000,2,N,1.4713765072360978,1.8479696051674808,0.9,376.59309793138294,154.13669,272.75586,-27.182665,151.56596,58.04525231637673,2.71277,1.64693
M2-CUH-3,M2,Constant,UH,20000,3,N,2.8367135163735835,3.2112373767835454,2.3000000000000003,374.5238604099619,367.96463,614.7861,-55.687473,222.16518,137.8075838120552,3.98404,2.8359325
