test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
D1-DC-3,D1,DC,MAX,100,3,N,1.5324706398395378,25.52575580925025,-1.0,23993.285169410712,90.34468,234.23087,30.253595,78.11515,2167.6654033131813,7.95993,3.553204791666667
D1-DC-4,D1,DC,MAX,100,4,N,1.6610406659545829,25.603350526136786,1.2000000000000002,23942.309860182202,243.31299,357.61307,61.264164,90.11329,5825.475033081172,14.1776,11.242049125
D1-DC-5,D1,DC,MAX,100,5,N,1.9146528026959828,25.820400254090977,0.0,23905.747451394993,236.94989,521.5831,47.59791,104.36878,5664.4649726502585,20.7437,12.767893054393303
D1-DC-6,D1,DC,MAX,100,6,N,3.2111012913238692,27.13949526032239,0.0,23928.39396899852,295.7639,696.5882,49.487503,116.15666,7077.1536732419945,24.11696,15.377883138075312
