test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
D4-DC-3,D4,DC,MAX,100,3,N,1.5528838040497135,6.609803791408477,1.0,5056.919987358763,143.34264,252.02686,43.59674,76.5493,724.8722320023392,13.35414,9.009244705882354
D4-DC-4,D4,DC,MAX,100,4,N,1.3133458876318405,6.367378172122843,1.0,5054.032284491002,227.60168,392.18604,57.15516,98.53852,1150.3057075905522,14.9539,10.358919799999999
D4-DC-5,D4,DC,MAX,100,5,N,1.3447540368225526,7.43395014554805,1.0,6089.196108725498,227.69261,488.8767,45.66614,98.222305,1386.4659915207617,15.44257,10.055443606557377
D4-DC-6,D4,DC,MAX,100,6,N,1.287342395811824,7.362642049478399,0.0,6075.299653666575,265.7454,707.51935,44.39856,118.39435,1614.4830064951723,14.50363,10.399459180327868
