test_id,motor,profile,speed_code,speed_value,voltage,direction,selection_start,selection_end,force_time_offset,duration_ms,mean_power_mw,peak_power_mw,mean_current_ma,peak_current_ma,energy_mj,max_thrust_n,mean_thrust_n
D3-DC-3,D3,DC,MAX,100,3,N,2.8614337214032637,3.8888892313082786,2.1999999999999997,1027.4555099050149,79.7573,212.63023,26.728748,70.901794,81.94664460978038,3.07221,1.900798
D3-DC-4,D3,DC,MAX,100,4,N,1.577068636070581,2.606823591254612,1.0,1029.754955184031,99.98344,386.41803,25.128963,96.70183,102.95894862853488,4.12769,1.0247090909090908
D3-DC-5,D3,DC,MAX,100,5,N,2.885785238292476,3.9176038679509784,2.4,1031.8186296585027,333.99698,518.2215,67.28965,104.481926,344.62473915626913,4.96864,2.91673
D3-DC-6,D3,DC,MAX,100,6,N,1.846628740423702,2.8692783026357604,1.3,1022.6495622120584,435.59592,796.8363,73.12497,133.89822,445.46217451093804,6.50461,3.876325
